gene	cell_type	weight
Hc	14	0.19793732948583695
Nkx2-1	14	0.1743333274447576
Sftpc	14	0.15043167749281733
Ptprf	14	0.14987201279150447
Ager	14	0.11985465879922809
Cpm	14	0.06406913540816081
Lcn2	14	0.057837704570827264
Afap1l1	14	0.03972649948658654
1110017D15Rik	15	0.7165713963279035
Tbx3	15	0.2870393261184422
Ednrb	15	0.2661698986200233
Ly6a	15	0.22812875122232712
Dynlrb2	15	0.17312379961621327
Igfbp7	15	0.12924307931015125
Emp2	15	0.1257415309266905
Tppp3	15	0.07995397752952425
Kitl	15	0.04350764182474236
Tnik	15	0.03467559229473634
Igfbp5	16	0.2527609522713393
Gpm6a	16	0.25137250400345085
Gpc3	16	0.21031232757470505
Prr15	16	0.12205963351585776
Fmo2	16	0.09532058501896563
Rarres2	16	0.07743072924501479
C4b	16	0.04934990383461073
Sparcl1	16	0.007131145720799699
Rnf128	17	0.444302988936565
Il2	17	0.29973307660809034
Arg1	17	0.2669680997754166
Amph	17	0.20763216997187894
Hba-a1	17	0.1900912121166349
Rgs1	17	0.18716947694250452
Stab2	17	0.17650300227682403
Rgs2	17	0.15630502258035336
Xlr4a	17	0.1359695682460829
Klrg1	17	0.12697682518051978
Ccl4	18	0.253780632784032
Csrp3	18	0.2025993305585143
Ccl3	18	0.18726467452455384
Ifitm1	18	0.1611787457406535
Il6	18	0.14673542308335946
Cyp11a1	18	0.13395227490015343
Gata2	18	0.11173296525148373
Cpa3	18	0.09729237868382265
Lilr4b	18	0.06843475510162411
Ccl6	18	0.005828055703551052
Rbm4b	2	0.4726488852041933
Prrg4	2	0.39088884752726877
Lipe	2	0.3788712403812812
Scn2b	2	0.3546789006399748
Postn	2	0.3218537944033701
St5	2	0.26843865081594787
Myh9	2	0.2660279749445418
Pim1	2	0.2543510565961697
Rpl18a-ps3	2	0.2512109073790514
Ercc6	2	0.24968900555857126
Ms4a4b	3	0.44201616105089003
Cd8b1	3	0.4141514351853292
Lef1	3	0.3351213664616096
Gm8369	3	0.313586695532488
Olfr1033	3	0.2846585882924066
Cd3g	3	0.2670527970407027
Trbc2	3	0.2588632929260384
Rflnb	3	0.22014246048783065
Tsr3	3	0.21874541868934191
Smc4	3	0.19653510462103915
Chil3	4	0.6236838580624502
Lpl	4	0.43046134943661296
Cd9	4	0.358449390343928
Abcg1	4	0.3122649219733656
Mt1	4	0.17374654060249603
Tubb5	4	0.13249963337863654
Fth1	4	0.1083554185297588
Fabp1	4	0.09534996342568129
Tnfaip2	4	0.07402787924897687
Mfsd9	4	0.06065177582510226
Gzma	5	0.6940286037317145
Ncr1	5	0.34830654633345426
Klra4	5	0.2989387531002897
Spry2	5	0.2580071752012836
Klre1	5	0.16754839500902483
Cox20b	5	0.11721057852197955
Csmd2	5	0.10143658941960729
Trim21	5	0.09677807191382881
3110009E18Rik	5	0.09390349674313836
Cby1	5	0.08846239970350755
Inmt	6	0.5667770163869266
Mgp	6	0.5047612152463351
Col1a2	6	0.38583920751458733
Gm4956	6	0.17530763891787998
Rbp1	6	0.15194102141493987
Gpx3	6	0.147135883600727
Dpt	6	0.14075636779656714
Csrp2	6	0.13961302228804823
Col3a1	6	0.12368553740974438
G0s2	6	0.11775688510609862
Lyz2	7	0.39953905534982476
F13a1	7	0.38379148844518934
Plac8	7	0.3687341209164624
Fos	7	0.27639351499678166
Cd177	7	0.20974706742994853
Fn1	7	0.19714952530212385
Ccl9	7	0.18996058361120574
Urb1	7	0.12660757052488109
Gm49258	7	0.12200990874770995
Tyrobp	7	0.10924399159950729
Gngt2	8	0.43088373330119667
Gm2a	8	0.378416257075347
Adgre4	8	0.34449261905891515
Gm21188	8	0.28782430873841347
Pou2f2	8	0.2826054456094206
Eno3	8	0.27491793877954557
Filip1l	8	0.2734178563432452
Cd300e	8	0.2683475585747461
Lst1	8	0.24570477273509456
Sat1	8	0.2203451313110208
S100a8	9	0.442727935258761
S100a9	9	0.33852696298217
Msrb1	9	0.2962138012807463
Il1b	9	0.23622524418631444
Pglyrp1	9	0.1855620553469237
Stfa2l1	9	0.17200967429102748
Csf3r	9	0.1569288103625063
Slpi	9	0.15543684740484406
Fgl2	9	0.14259579795054006
AB124611	9	0.07420895194445525
